Direction du gestionnaire du dossier,région,program,code_insee,portage,NOM PRE,contact,REP REP+,CITE EDUCATIVE,QPV
Ain,AUVERGNE-RHONE-ALPES,BOURG EN BRESSE,01053,CCAS-BOURG EN BRESSE,PROGRAMME DE REUSSITE EDUCATIVE + COMMUNE,cacioppomc@bourgenbresse.fr,,,
Ain,AUVERGNE-RHONE-ALPES,MONTLUEL,01262,CCAS-MONTLUEL,,referente-politiquedelaville@ville-montluel.fr,,,
Ain,AUVERGNE-RHONE-ALPES,OYONNAX,01283,CCAS-OYONNAX,,deborah.deoliveira@oyonnax.fr,,,
Corse-du-Sud,CORSE,AJACCIO CEDEX 1,2A004,VILLE-AJACCIO CEDEX 1,,s.simonet@ville-ajaccio.fr,,,
Orne,NORMANDIE,ALENCON CEDEX,61001,COMMUNAUTE D'AGGLOMERATION -ALENCON CEDEX,,pre@cu-alencon.fr,,,
Aisne,HAUTS-DE-FRANCE,LAON,02408,CCAS-LAON,,trocourt@ville-laon.fr,,,
Gard,OCCITANIE,ALES ,30007,GIP PV-ALES ,,constance.bord@gip-pvac.fr,,,
Aisne,HAUTS-DE-FRANCE,SOISSONS,02722,CCAS-SOISSONS,,c.attancourt@ville-soissons.fr,,,
Allier,AUVERGNE-RHONE-ALPES,CUSSET,03095,CAISSE DES ECOLES-CUSSET,,virginie.paulet@ville-cusset.fr,,,
Allier,AUVERGNE-RHONE-ALPES,MONTLUCON,03185,CAISSE DES ECOLES-MONTLUCON,,m.manchon@mairie-montlucon.fr,,,
Allier,AUVERGNE-RHONE-ALPES,MOULINS,02530,CIAS-MOULINS,,c.boudet@agglo-moulins.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,CANNES,06029,CAISSE DES ECOLES-CANNES,,jean-claude.rinaudo@ville-cannes.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,CARROS,06033,CAISSE DES ECOLES-CARROS,,mp.fidile@ville-carros.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,GRASSE,06069,CAISSE DES ECOLES-GRASSE,,audrey.eusebi@ville-grasse.fr,,,
Maine-et-Loire,PAYS DE LA LOIRE,ANGERS CEDEX 01,49007,CAISSE DES ECOLES-ANGERS CEDEX 01,,sylvaine.bolzer@ville.angers.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,SAINT LAURENT DU VAR,06123,CAISSE DES ECOLES-SAINT LAURENT DU VAR,,christelle.guerucci@saintlaurentduvar.fr,,,
Pas-de-Calais,HAUTS-DE-FRANCE,ARRAS CEDEX,62041,CAISSE DES ECOLES-ARRAS CEDEX,,m-bochu@ville-arras.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,VALLAURIS,06155,CAISSE DES ECOLES-VALLAURIS,,a.pastor@agglo-casa.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,VENCE,06157,CAISSE DES ECOLES-VENCE,,aperillat@ville-vence.fr,,,
Alpes-Maritimes,PROVENCE-ALPES-COTE-D'AZUR,DRAP,06054,CCAS-DRAP,,dgs@ville-drap.fr,,,
Ardèche,AUVERGNE-RHONE-ALPES,ANNONAY,07010,CCAS-ANNONAY,,catherine.varin@annonay.fr,,,
Ardèche,AUVERGNE-RHONE-ALPES,AUBENAS,07019,CCAS-AUBENAS,,rolandsoubeyrand.ccas@mairie-aubenas.fr,,,
Ardèche,AUVERGNE-RHONE-ALPES,PRIVAS,07186,CCAS-PRIVAS,,fanny.gilles@ccas-privas.fr,,,
Hauts-de-Seine,ILE-DE-FRANCE,ASNIERES-SUR-SEINE,92004,CCAS-ASNIERES-SUR-SEINE,,msellam@mairieasnieres.fr,,,
Morbihan,BRETAGNE,AURAY CEDEX,56007,VILLE-AURAY CEDEX,,c.hamon@ville-auray.fr,,,
Ardennes,GRAND EST,CHARLEVILLE MEZIERES,08105,CCAS-CHARLEVILLE MEZIERES,,michele.maire@ccas-charlevillemezieres.fr,,,
Ardennes,GRAND EST,FUMAY,08185,CCAS-FUMAY,,epn-fumay@orange.fr,,,
Ardennes,GRAND EST,REVIN,08363,CCAS-REVIN,,pre.pru@ville-revin.fr,,,
Ardennes,GRAND EST,SEDAN,08409,CCAS-SEDAN,,pre@mairie-sedan.fr,,,
Gard,OCCITANIE,BAGNOLS-SUR-CEZE,30028,CAISSE DES ECOLES-BAGNOLS-SUR-CEZE,,g.fares@bagnolssurceze.fr,,,
Aude,OCCITANIE,NARBONNE,11262,CCAS-NARBONNE,,d.bernad@mairie-narbonne.fr,,,
Guadeloupe,OUTRE-MER,BASSE-TERRE,97105,CCAS-BASSE-TERRE,,j.letang@ville-basseterre.fr,,,
Haute-Corse,CORSE,BASTIA CEDEX,2B033,CAISSE DES ECOLES-BASTIA CEDEX,,g.ottavi@ville-bastia.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,VITROLLES,05184,CAISSE DES ECOLES-VITROLLES,,magali.petraud@ville-vitrolles13.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,MARTIGUES,13056,CCAS-MARTIGUES,,aria.kateb@ville-martigues.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,MIRAMAS,13063,CCAS-MIRAMAS,,l.ait-ammar@mairie-miramas.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,ARLES,13004,COMMUNAUTE D'AGGLOMERATION -ARLES,,y.barbeau@agglo-accm.fr,,,
Ardennes,GRAND EST,BOGNY-SUR-MEUSE,08081,CCAS-BOGNY-SUR-MEUSE,,direction@aymonlire.fr,,,
Bouches-du-Rhône,PROVENCE-ALPES-COTE-D'AZUR,MARSEILLE,13055,GIP RE-MARSEILLE,,sophie.deschard@gippre.fr,,,
Calvados,NORMANDIE,LISIEUX,14366,CAISSE DES ECOLES-LISIEUX,,astrauss@ville-lisieux.fr,,,
Calvados,NORMANDIE,CAEN,14118,CCAS-CAEN,,e.beausire@caen.fr,,,
Calvados,NORMANDIE,COLOMBELLES,14167,CCAS-COLOMBELLES,,pre@colombelles.fr,,,
Aisne,HAUTS-DE-FRANCE,BOHAIN-EN-VERMANDOIS,02095,CCAS-BOHAIN-EN-VERMANDOIS,,direction@ccasbohain.fr,,,
Charente,NOUVELLE AQUITAINE,ANGOULEME,16015,CCAS-ANGOULEME,,ccasangouleme@mairie-angouleme.fr,,,
Charente,NOUVELLE AQUITAINE,COGNAC,16102,CCAS-COGNAC,,pre-asv@ville-cognac.fr,,,
Charente,NOUVELLE AQUITAINE,SOYAUX,16374,CCAS-SOYAUX,,ruth-maria.timana@mairie-soyaux.fr,,,
Corrèze,NOUVELLE AQUITAINE,BRIVE LA GAILLARDE CEDEX,19031,COMMUNAUTE D'AGGLOMERATION -BRIVE LA GAILLARDE CEDEX,,pre@agglodebrive.fr,,,
Nord,HAUTS-DE-FRANCE,CAMBRAI CEDEX,59122,CCAS-CAMBRAI CEDEX,,sledoux@mairie-cambrai.fr,,,
Charente-Maritime,NOUVELLE AQUITAINE,SAINTES,17415,COMMUNAUTE D'AGGLOMERATION -SAINTES,,g.demazoin@agglo-saintes.fr,,,
Cher,CENTRE-VAL-DE-LOIRE,BOURGES,18033,CAISSE DES ECOLES-BOURGES,,agnes.cordeau@ville-bourges.fr,,,
Cher,CENTRE-VAL-DE-LOIRE,VIERZON,18279,CAISSE DES ECOLES-VIERZON,,eric.follenfant@ville-vierzon.fr,,,
Aude,OCCITANIE,CARCASSONNE CEDEX 9,11069,COMMUNAUTE AGGLOMERATION-CARCASSONNE CEDEX 9,,alexandra.escourroulucon@carcassonne-agglo.fr,,,
Côte-d'Or,BOURGOGNE-FRANCHE-COMTE,DIJON,21231,CAISSE DES ECOLES-DIJON,,cmelin@ville-dijon.fr,,,
Côte-d'Or,BOURGOGNE-FRANCHE-COMTE,CHENOVE,21166,CCAS-CHENOVE,,guillaume.lagay@ville-chenove.fr,,,
Côte-d'Or,BOURGOGNE-FRANCHE-COMTE,LONGVIC,21355,CCAS-LONGVIC,,berangere.vielix@ville-longvic.fr,,,
Côte-d'Or,BOURGOGNE-FRANCHE-COMTE,TALANT,21617,CCAS-TALANT,,f.burnel@talant.fr,,,
Yvelines,ILE-DE-FRANCE,CARRIERES-SOUS-POISSY,78123,VILLE -CARRIERES-SOUS-POISSY,,g.gbessaya@carrieres-sous-poissy.fr,,,
Côtes-d'Armor,BRETAGNE,DINAN,22050,CCAS-DINAN,,ma.richard@dinan.fr,,,
Côtes-d'Armor,BRETAGNE,GUINGAMP,22070,CCAS-GUINGAMP,,a.queguineur@ville-guingamp.com,,,
Côtes-d'Armor,BRETAGNE,LANNION,22113,CCAS-LANNION,,arnauld.simon@ville-lannion.fr,,,
Côtes-d'Armor,BRETAGNE,PLOUFRAGAN,22215,CCAS-PLOUFRAGAN,,pascale.tanguy@ploufragan.fr,,,
Creuse,NOUVELLE AQUITAINE,GUERET,23096,CCAS-GUERET,,ccas.gueret@wanadoo.fr,,,
Dordogne,NOUVELLE AQUITAINE,PERIGUEUX,24322,CCAS-PERIGUEUX,,yoann.mazaudou@perigueux.fr,,,
Dordogne,NOUVELLE AQUITAINE,BERGERAC,24037,VILLE-BERGERAC,,scoll@bergerac.fr,,,
Dordogne,NOUVELLE AQUITAINE,COULOUNIEIX CHAMIERS,24138,VILLE -COULOUNIEIX CHAMIERS,,a.bonnefond@coulounieix-chamiers.fr,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,AUDINCOURT,25031,CAISSE DES ECOLES-AUDINCOURT,,e.tilly@audincourt.fr,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,BESANCON,25056,CAISSE DES ECOLES-BESANCON,,christine.seys@besancon.fr,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,BETHONCOURT,25057,CCAS-BETHONCOURT,,c.valladont@ccas-bethoncourt.fr,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,GRAND CHARMONT,25284,CCAS-GRAND CHARMONT,,coordinateur.pre@grand-charmont.com,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,MONTBELIARD,25388,CCAS-MONTBELIARD,,dhelleu@montbeliard.com,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,PONTARLIER,25462,CCAS-PONTARLIER,,j.cuynet@ville-pontarlier.com,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,SOCHAUX,25547,CCAS-SOCHAUX,,coordinatrice-pre@sochaux.fr,,,
Doubs,BOURGOGNE-FRANCHE-COMTE,VALENTIGNEY,25580,CCAS-VALENTIGNEY,,jean-luc.dorier@valentigney.fr,,,
Drôme,AUVERGNE-RHONE-ALPES,MONTELIMAR,26198,CAISSE DES ECOLES-MONTELIMAR,,fouzia.benyakoub@montelimar.fr,,,
Drôme,AUVERGNE-RHONE-ALPES,ROMANS SUR ISERE,26281,CAISSE DES ECOLES-ROMANS SUR ISERE,,rarnaud@ville-romans26.fr,,,
Yvelines,ILE-DE-FRANCE,CARRIERES-SUR-SEINE,78124,VILLE -CARRIERES-SUR-SEINE,,r.chacha@carrieres-sur-seine.fr,,,
Drôme,AUVERGNE-RHONE-ALPES,VALENCE,16392,CCAS-VALENCE,,antoine.vinay@mairie-valence.fr,,,
Vaucluse,PROVENCE-ALPES-COTE-D'AZUR,CAVAILLON CEDEX,84035,CCAS-CAVAILLON CEDEX,,hananeelmazouzi@ccas-cavaillon.fr,,,
Eure,NORMANDIE,PONT AUDEMER,27467,CCAS-PONT AUDEMER,,stephanie.laschkar@ville-pont-audemer.fr,,,
Gironde,NOUVELLE AQUITAINE,CENON CEDEX,33119,CCAS-CENON CEDEX,,cecile.rojat@cenon.fr,,,
Eure,NORMANDIE,VERNON,07336,CCAS-VERNON,,agathegautier@hotmail.fr,,,
Eure,NORMANDIE,BERNAY,27056,CIAS-BERNAY,,a.gatineau@bernaynormandie.fr,,,
Eure,NORMANDIE,EVREUX,27229,COMMUNAUTE D'AGGLOMERATION -EVREUX,,crouf@epn-agglo.fr,,,
Eure-et-Loir,CENTRE-VAL-DE-LOIRE,DREUX,28134,CAISSE DES ECOLES-DREUX,,sabrinagaudin@hotmail.fr,,,
Saône-et-Loire,BOURGOGNE-FRANCHE-COMTE,CHALON-SUR-SAONE,71076,CCAS-CHALON-SUR-SAONE,,sophie.dut@chalonsursaone.fr,,,
Eure-et-Loir,CENTRE-VAL-DE-LOIRE,CHARTRES,28085,CCAS-CHARTRES,,jessica.talbot@agglo-ville.chartres.fr,,,
Eure-et-Loir,CENTRE-VAL-DE-LOIRE,MAINVILLIERS,28229,CCAS-MAINVILLIERS,,reussite-educative@ville-mainvilliers.fr,,,
Marne,GRAND EST,CHALONS EN CHAMPAGNE CEDEX,51108,CCAS-CHALONS EN CHAMPAGNE CEDEX,,c.lopes@chalonsenchampagne.fr,,,
Finistère,BRETAGNE,BREST,29019,CAISSE DES ECOLES-BREST,,laure.coat@brest-metropole.fr,,,
Finistère,BRETAGNE,CONCARNEAU,29039,CAISSE DES ECOLES-CONCARNEAU,,marina.lhermitte@concarneau.fr,,,
Finistère,BRETAGNE,QUIMPER,29232,CAISSE DES ECOLES-QUIMPER,,marie.chasserez@quimper.bzh,,,
Finistère,BRETAGNE,MORLAIX,29151,CCAS-MORLAIX,,ccas@villedemorlaix.org,,,
Val-de-Marne,ILE-DE-FRANCE,CHAMPIGNY SUR MARNE CEDEX,94017,CAISSE DES ECOLES-CHAMPIGNY SUR MARNE CEDEX,,n.agodor@mairie-champigny94.fr,,,
Aisne,HAUTS-DE-FRANCE,CHATEAU-THIERRY,02168,CCAS-CHATEAU-THIERRY,,isabelle.puigmal@ville-chateau-thierry.fr,,,
Indre,CENTRE-VAL-DE-LOIRE,CHATEAUROUX CEDEX,36044,CAISSE DES ECOLES-CHATEAUROUX CEDEX,,sebastien.rety@chateauroux-metropole.fr,,,
Val-de-Marne,ILE-DE-FRANCE,CHOISY LE ROI CEDEX,94022,CCAS-CHOISY LE ROI CEDEX,,pre@choisyleroi.fr,,,
Gard,OCCITANIE,ALES,30007,COMMUNAUTE AGGLOMERATION-ALES,,elodie.guin@alesagglo.fr,,,
Maine-et-Loire,PAYS DE LA LOIRE,CHOLET CEDEX,49099,COMMUNAUTE AGGLOMERATION-CHOLET CEDEX,,sreveau@choletagglomeration.fr,,,
Haute-Garonne,OCCITANIE,MURET,31395,CCAS-MURET,,khedidja.naib@mairie-muret.fr,,,
Hauts-de-Seine,ILE-DE-FRANCE,COLOMBES CEDEX,92025,CCAS-COLOMBES CEDEX,,ibrahima.sambou@mairie-colombes.fr,,,
